Question,Answer
What undergraduate programs does QAU offer in Natural Sciences?,"QAU offers BS programs in Chemistry, Physics, Mathematics, Statistics, Electronics, Earth Sciences, Environmental Sciences, and Computer Sciences in the Natural Sciences domain."
How many years is the BS program at QAU?,The BS program at QAU is typically 4 years (8 semesters) with 130-136 credit hours depending on the department.
What is the eligibility criterion for admission to BS programs at QAU?,Eligibility for BS programs at QAU requires at least 50% marks in intermediate (HSSC/A-Level) or equivalent in the relevant field. Some departments may have additional subject requirements.
Does QAU offer BS in Computer Science?,"Yes, QAU offers BS in Computer Science through the Department of Computer Science with a curriculum focusing on programming, algorithms, data structures, software engineering, and other core computing topics."
What is the fee structure for BS programs at QAU?,"BS program fees at QAU typically range from 25,000 to 40,000 PKR per semester for local students, varying by department. Additional charges include admission fee, security deposit, and examination fees."
Does QAU offer any scholarships for BS students?,"Yes, QAU offers various scholarships for BS students including merit-based scholarships, need-based financial aid, HEC scholarships, and the Prime Minister's Fee Reimbursement Scheme for deserving students."
What is the admission process for BS programs at QAU?,"The BS admission process at QAU includes online application submission, entrance test, merit list preparation based on intermediate results and entrance test scores, document verification, and fee payment."
When are the BS admissions usually announced at QAU?,BS admissions at QAU are typically announced twice a year - Fall admissions in July-August and Spring admissions in December-January. Exact dates are published on the university website.
What social science programs are available at BS level in QAU?,"QAU offers BS programs in social sciences including Economics, Anthropology, Sociology, History, International Relations, Pakistan Studies, Psychology, and Defense & Strategic Studies."
Is there a BS program in Biotechnology at QAU?,"Yes, QAU offers BS Biotechnology through the Department of Biotechnology, covering molecular biology, genetic engineering, biochemistry, microbiology, and biotechnology applications."
What is the student-teacher ratio in BS programs at QAU?,"The student-teacher ratio in BS programs at QAU is approximately 20:1, though this may vary by department. Popular programs might have slightly higher ratios."
Does QAU offer BS in Pharmacy?,"Yes, QAU offers a BS in Pharmacy (Pharm-D) program through the Department of Pharmacy, which is a 5-year professional degree program approved by the Pharmacy Council of Pakistan."
What are the core courses in BS Mathematics at QAU?,"Core courses in BS Mathematics at QAU include Calculus, Linear Algebra, Abstract Algebra, Real Analysis, Complex Analysis, Differential Equations, Numerical Analysis, and Mathematical Statistics."
Is there a BS program in Environmental Sciences at QAU?,"Yes, QAU offers BS in Environmental Sciences, covering ecology, environmental chemistry, pollution control, environmental impact assessment, and sustainable development."
What facilities are available for BS students at QAU?,"BS students at QAU have access to libraries, computer labs, science laboratories, sports facilities, hostels, cafeterias, medical center, transport services, and career counseling."
Does QAU offer any double major options at BS level?,"Currently, QAU does not formally offer double major options at BS level, but students can take elective courses from other departments to broaden their knowledge base."
What is the grading system used for BS programs at QAU?,"QAU uses a 4.0 GPA system for BS programs: A=4.0 (90-100%), A-=3.7 (85-89%), B+=3.3 (80-84%), B=3.0 (75-79%), B-=2.7 (70-74%), C+=2.3 (65-69%), C=2.0 (60-64%), C-=1.7 (55-59%), D=1.0 (50-54%), F=0.0 (<50%)."
Is there a semester or annual system for BS programs at QAU?,"QAU follows a semester system for BS programs with two regular semesters (Fall and Spring) of 16-18 weeks each, and an optional Summer semester of 8 weeks."
What is the minimum CGPA required to graduate with a BS degree from QAU?,Students must maintain a minimum CGPA of 2.0 out of 4.0 to graduate with a BS degree from QAU. Some departments may have higher requirements for honors.
Does QAU offer BS in Business Administration?,"Yes, QAU offers BS in Business Administration through the School of Management Sciences, covering management principles, marketing, finance, human resources, and entrepreneurship."
What research opportunities are available for BS students at QAU?,"BS students at QAU can participate in research through final year projects, research assistantships with faculty, undergraduate research programs, and departmental research initiatives."
Is there a BS program in Islamic Studies at QAU?,"Yes, QAU offers BS in Islamic Studies through the Department of Islamic Studies, covering Islamic history, jurisprudence, Quranic studies, Hadith, and comparative religions."
What is the medium of instruction for BS programs at QAU?,"The primary medium of instruction for BS programs at QAU is English, with some courses in Islamic Studies and Pakistan Studies departments occasionally conducted in Urdu."
What is the attendance requirement for BS courses at QAU?,BS students at QAU are required to maintain at least 75% attendance in each course. Failing to meet this requirement may result in an 'F' grade regardless of academic performance.
Does QAU offer BS in Political Science?,"Yes, QAU offers BS in Political Science through the Department of Politics and International Relations, covering political theory, governance, public policy, and comparative politics."
What internship opportunities are available for BS students at QAU?,"BS students at QAU can access internships through the Career Development Center, departmental connections with industry, government organizations, NGOs, and research institutions."
Is there a BS program in Geology at QAU?,"Yes, QAU offers BS in Geology/Earth Sciences through the Department of Earth Sciences, covering mineralogy, petrology, stratigraphy, structural geology, and geophysics."
What is the credit hour distribution in BS programs at QAU?,"BS programs at QAU typically require 130-136 credit hours, distributed as: 40-45% major courses, 25-30% foundation courses, 15-20% general education, and 10-15% electives."
Does QAU offer any evening BS programs?,"Yes, QAU offers selected BS programs in evening shifts, particularly in Business Administration, Computer Science, and some Social Sciences departments to accommodate working professionals."
What is the policy for course registration in BS programs at QAU?,Course registration for BS programs at QAU occurs at the beginning of each semester through the online portal. Students can register for 15-21 credit hours per regular semester based on their CGPA.
Is there a BS program in Physics at QAU?,"Yes, QAU offers BS in Physics through the Department of Physics, covering classical mechanics, quantum physics, electromagnetism, thermodynamics, nuclear physics, and electronics."
What student societies and clubs are available for BS students at QAU?,"BS students at QAU can join various societies including Literary Society, Debating Club, Science Society, Arts Council, Sports Club, Environmental Society, and department-specific academic clubs."
Does QAU offer BS in Linguistics?,"Yes, QAU offers BS in Linguistics through the Department of Linguistics, covering phonetics, phonology, morphology, syntax, semantics, and applied linguistics."
What is the policy for changing majors during BS at QAU?,"Major changes during BS at QAU require departmental approval and are typically possible only during the first two semesters, subject to meeting the new department's requirements and available capacity."
Is there a BS program in Chemistry at QAU?,"Yes, QAU offers BS in Chemistry through the Department of Chemistry, covering organic, inorganic, physical, and analytical chemistry with laboratory components."
What computing facilities are available for BS students at QAU?,"BS students at QAU have access to computer labs equipped with necessary software, campus-wide Wi-Fi, digital library resources, and specialized computing facilities in relevant departments."
Does QAU offer BS in Microbiology?,"Yes, QAU offers BS in Microbiology through the Department of Microbiology, covering bacteriology, virology, immunology, medical microbiology, and industrial applications."
What is the policy for repeating courses in BS programs at QAU?,"Students in BS programs at QAU can repeat courses in which they received a grade below C. The better grade is counted for CGPA, but both attempts appear on the transcript."
Is there a BS program in Economics at QAU?,"Yes, QAU offers BS in Economics through the School of Economics, covering microeconomics, macroeconomics, econometrics, development economics, and international trade."
What library resources are available for BS students at QAU?,"BS students at QAU have access to the Central Library with extensive print collections, digital resources, online journals, e-books, thesis repository, and specialized departmental libraries."
Does QAU offer BS in Psychology?,"Yes, QAU offers BS in Psychology through the Department of Psychology, covering clinical, cognitive, developmental, social psychology, and research methods."
What is the class size for BS programs at QAU?,"BS program class sizes at QAU typically range from 40-60 students for core courses and 20-30 students for specialized courses, depending on the department and course popularity."
Is there a BS program in Biochemistry at QAU?,"Yes, QAU offers BS in Biochemistry through the Department of Biochemistry, covering molecular biology, metabolism, enzymology, and cellular biochemistry."
What sports facilities are available for BS students at QAU?,"BS students at QAU have access to sports facilities including cricket and football grounds, basketball and tennis courts, indoor games, gymnasium, and swimming pool with regular tournaments."
Does QAU offer BS in International Relations?,"Yes, QAU offers BS in International Relations through the Department of International Relations, covering global politics, diplomacy, international law, security studies, and foreign policy analysis."
What is the academic calendar for BS programs at QAU?,"The academic calendar for BS programs at QAU typically consists of Fall semester (September-January), Spring semester (February-June), and optional Summer semester (July-August)."
Is there a BS program in Bioinformatics at QAU?,"Yes, QAU offers BS in Bioinformatics through the Department of Bioinformatics, covering computational biology, genomics, proteomics, and biological data analysis."
What hostel facilities are available for BS students at QAU?,"QAU provides separate hostel facilities for male and female BS students with accommodations including rooms, mess, common rooms, internet access, and security. Allocation is typically based on distance from Islamabad."
Does QAU offer BS in Software Engineering?,"Yes, QAU offers BS in Software Engineering through the Department of Computer Science, focusing on software development methodologies, programming, system design, and project management."
What is the procedure for semester withdrawal in BS programs at QAU?,"Semester withdrawal in BS programs at QAU requires formal application before the eighth week, approval from the department chair, and payment of continuation fee to maintain student status."
Is there a BS program in Zoology at QAU?,"Yes, QAU offers BS in Zoology through the Department of Animal Sciences, covering animal physiology, ecology, entomology, parasitology, and wildlife conservation."
What transportation facilities are available for BS students at QAU?,"QAU provides shuttle services for BS students between various points in Islamabad/Rawalpindi and the campus, with routes covering major residential areas and transport hubs."
Does QAU offer BS in Botany?,"Yes, QAU offers BS in Botany through the Department of Plant Sciences, covering plant physiology, taxonomy, ecology, genetics, and biotechnology applications in plants."
What counseling services are available for BS students at QAU?,"BS students at QAU have access to academic advisors in their departments, a central counseling center for personal issues, and career counseling services for professional development."
Is there a BS program in Mass Communication at QAU?,"Yes, QAU offers BS in Mass Communication through the Department of Media and Communication Studies, covering journalism, broadcasting, digital media, and communication theory."
What is the policy for course add/drop in BS programs at QAU?,BS students at QAU can add or drop courses within the first two weeks of a semester without penalty. Changes after this period require special approval and may appear on transcripts.
Does QAU offer BS in Gender Studies?,"Yes, QAU offers BS in Gender Studies through the Department of Gender Studies, covering gender theory, women's rights, social inequality, and gender in development."
What medical facilities are available for BS students at QAU?,"BS students at QAU have access to on-campus medical center providing basic healthcare, first aid, consultations, and referrals to specialized hospitals in emergency situations."
Is there a BS program in Statistics at QAU?,"Yes, QAU offers BS in Statistics through the Department of Statistics, covering statistical theory, probability, data analysis, experimental design, and statistical computing."
What is the procedure for applying for financial aid for BS programs at QAU?,"Financial aid applications for BS programs at QAU require submission of family income documentation, academic records, and need assessment forms to the Financial Aid Office, typically at the beginning of each academic year."
Does QAU offer BS in Sociology?,"Yes, QAU offers BS in Sociology through the Department of Sociology, covering social theory, research methods, social problems, demography, and community development."
What extracurricular activities are available for BS students at QAU?,"BS students at QAU can participate in extracurricular activities including debates, music, drama, literary competitions, sports tournaments, community service, and annual cultural festivals."
Is there a BS program in Anthropology at QAU?,"Yes, QAU offers BS in Anthropology through the Department of Anthropology, covering cultural and social anthropology, archaeology, biological anthropology, and ethnographic research methods."
What is the examination system for BS programs at QAU?,"The examination system for BS programs at QAU includes continuous assessment (assignments, quizzes, presentations) worth 40-50% and end-semester examinations worth 50-60% of the final grade."
Does QAU offer BS in Public Administration?,"Yes, QAU offers BS in Public Administration through the Department of Public Administration, covering governance, public policy, administrative theory, and public sector management."
What is the plagiarism policy for BS assignments and projects at QAU?,"QAU has a strict plagiarism policy for BS assignments and projects, using similarity detection software. Cases exceeding acceptable similarity levels face penalties ranging from grade reduction to course failure or expulsion."
Is there a BS program in Earth Sciences at QAU?,"Yes, QAU offers BS in Earth Sciences through the Department of Earth Sciences, covering geology, meteorology, oceanography, environmental geology, and geophysics."
What student support services are available for BS students with disabilities at QAU?,"QAU provides support services for BS students with disabilities including accessible infrastructure, exam accommodations, assistive technology, and dedicated staff to address special needs."
Does QAU offer BS in Defense and Strategic Studies?,"Yes, QAU offers BS in Defense and Strategic Studies, covering national security, military strategy, conflict resolution, international security, and strategic analysis."
What is the procedure for semester deferment for BS students at QAU?,"Semester deferment for BS students at QAU requires formal application with valid reasons (medical, personal emergency), supporting documentation, and approval from the department and Dean of Faculty."
Is there a BS program in Biotechnology at QAU?,"Yes, QAU offers BS in Biotechnology through the Department of Biotechnology, covering genetic engineering, microbial biotechnology, bioprocess technology, and molecular biology."
What career services are available for BS graduates from QAU?,"BS graduates from QAU can access career services including job placement assistance, career counseling, CV development workshops, interview preparation, job fairs, and alumni networking opportunities."
Does QAU offer BS in Mathematics?,"Yes, QAU offers BS in Mathematics through the Department of Mathematics, covering pure and applied mathematics, mathematical modeling, and computational mathematics."
What is the policy for inter-university credit transfer to BS programs at QAU?,"Inter-university credit transfer to BS programs at QAU requires courses with similar content and credit hours, grades of C or above, accredited institution status, and approval from the relevant department and Equivalence Committee."
Is there a BS program in Pakistan Studies at QAU?,"Yes, QAU offers BS in Pakistan Studies through the Department of Pakistan Studies, covering national history, politics, culture, economy, and foreign relations."
What IT services are available for BS students at QAU?,"BS students at QAU have access to IT services including email accounts, learning management systems, online registration portal, digital library access, and technical support services."
Does QAU offer BS in Urdu Literature?,"Yes, QAU offers BS in Urdu Literature through the Department of Urdu, covering classical and modern Urdu literature, linguistics, literary criticism, and creative writing."
What is the procedure for transcript issuance for BS programs at QAU?,"Transcript issuance for BS programs at QAU requires application through the Examination Department, payment of prescribed fee, verification of records, and processing time of 3-7 working days."
Is there a BS program in Electronics at QAU?,"Yes, QAU offers BS in Electronics through the Department of Electronics, covering electronic circuits, digital systems, microprocessors, communication systems, and signal processing."
What student exchange programs are available for BS students at QAU?,"BS students at QAU can participate in exchange programs through partnerships with international universities, HEC mobility programs, and bilateral academic exchange initiatives for one or two semesters."
Does QAU offer BS in History?,"Yes, QAU offers BS in History through the Department of History, covering ancient civilizations, medieval history, modern world history, and regional historical studies."
What is the policy for semester freezing in BS programs at QAU?,"Semester freezing in BS programs at QAU allows students to temporarily suspend studies for up to two consecutive semesters with proper application, valid reason, and administrative approval."
Is there a BS program in Arabic at QAU?,"Yes, QAU offers BS in Arabic through the Department of Arabic, covering Arabic language, literature, grammar, rhetoric, and translation studies."
What alumni services are available for BS graduates from QAU?,"BS graduates from QAU can access alumni services including alumni association membership, networking events, continuing education opportunities, career advancement support, and university facility access."
Does QAU offer BS in Environmental Science?,"Yes, QAU offers BS in Environmental Science through the Department of Environmental Sciences, covering ecology, pollution monitoring, environmental management, and sustainable development."
What student representation bodies exist for BS students at QAU?,"BS students at QAU are represented through departmental student representatives, faculty student committees, and the central Students Affairs Office for academic and administrative matters."
Is there a BS program in Persian at QAU?,"Yes, QAU offers BS in Persian through the Department of Persian, covering Persian language, classical and modern literature, poetry, and cultural studies."
What is the policy for summer internships for BS students at QAU?,Summer internships for BS students at QAU can be credit-based (requiring registration and assessment) or non-credit voluntary experiences arranged through departments or the Career Development Center.
Does QAU offer an MPhil in Biochemistry?,"Yes, QAU offers an MPhil in Biochemistry through the Department of Biochemistry, focusing on advanced enzyme studies, protein chemistry, molecular biology, and metabolic research."
What is the duration of MPhil programs at QAU?,MPhil programs at QAU are typically 2 years (4 semesters) in duration with 24-30 credit hours of coursework and a thesis component of 6-10 credit hours.
What are the admission requirements for MPhil programs at QAU?,"Admission requirements for MPhil programs at QAU include a relevant BS/Master's degree with at least 2.5 CGPA or 50% marks, passing the departmental admission test, and an interview."
Does QAU offer an MPhil in Physics?,"Yes, QAU offers an MPhil in Physics through the Department of Physics, with specializations in theoretical physics, solid state physics, nuclear physics, and particle physics."
What is the fee structure for MPhil programs at QAU?,"MPhil program fees at QAU typically range from 35,000 to 50,000 PKR per semester for local students, plus one-time admission fee, thesis evaluation fee, and other charges."
Does QAU offer scholarships for MPhil students?,"Yes, QAU offers various scholarships for MPhil students including HEC scholarships, research assistantships, teaching assistantships, and merit-based university scholarships."
What is the admission process for MPhil programs at QAU?,"The MPhil admission process at QAU includes online application, qualifying in the university entrance test, departmental subject test, interview by the departmental committee, and final selection based on merit."
When are MPhil admissions announced at QAU?,MPhil admissions at QAU are typically announced once a year in the Fall semester (July-August). Exact dates are published on the university website and in national newspapers.
Does QAU offer an MPhil in Computer Science?,"Yes, QAU offers an MPhil in Computer Science with specializations in artificial intelligence, data science, computer networks, information security, and software engineering."
What is the thesis requirement for MPhil programs at QAU?,"The MPhil thesis at QAU requires original research contribution, supervised by a faculty advisor, defended before a committee, and typically worth 6-10 credit hours of the total program."
Does QAU offer an MPhil in Economics?,"Yes, QAU offers an MPhil in Economics through the School of Economics, with focus areas in development economics, monetary economics, international trade, and econometrics."
What is the grading system for MPhil programs at QAU?,"QAU uses a 4.0 GPA system for MPhil programs: A=4.0 (90-100%), A-=3.7 (85-89%), B+=3.3 (80-84%), B=3.0 (75-79%), B-=2.7 (70-74%), C+=2.3 (65-69%), C=2.0 (60-64%), F=0.0 (<60%)."
Does QAU offer an MPhil in International Relations?,"Yes, QAU offers an MPhil in International Relations focusing on global politics, strategic studies, foreign policy analysis, international law, and regional studies."
What research facilities are available for MPhil students at QAU?,"MPhil students at QAU have access to specialized research laboratories, advanced computing facilities, departmental research centers, digital library resources, and research software packages."
Does QAU offer an MPhil in Chemistry?,"Yes, QAU offers an MPhil in Chemistry with specializations in organic chemistry, inorganic chemistry, physical chemistry, analytical chemistry, and biochemistry."
What is the comprehensive exam requirement for MPhil programs at QAU?,"Most MPhil programs at QAU require passing a comprehensive examination after completing coursework, before proceeding to thesis research. Format varies by department (written, oral, or both)."
Does QAU offer an MPhil in Biotechnology?,"Yes, QAU offers an MPhil in Biotechnology focusing on genetic engineering, industrial biotechnology, agricultural biotechnology, and medical biotechnology applications."
What is the minimum CGPA requirement for MPhil programs at QAU?,MPhil students at QAU must maintain a minimum CGPA of 2.5 out of 4.0 throughout the program. Falling below this threshold may result in academic probation or dismissal.
Does QAU offer an MPhil in Mathematics?,"Yes, QAU offers an MPhil in Mathematics with specializations in pure mathematics, applied mathematics, computational mathematics, and mathematical modeling."
What is the supervisor allocation process for MPhil students at QAU?,"MPhil supervisor allocation at QAU typically occurs after the first semester, based on student research interests, faculty expertise, mutual consent, and departmental approval."
Does QAU offer an MPhil in Microbiology?,"Yes, QAU offers an MPhil in Microbiology focusing on medical microbiology, environmental microbiology, industrial microbiology, and molecular microbiology."
What is the thesis defense procedure for MPhil programs at QAU?,"MPhil thesis defense at QAU involves submission of the thesis draft, approval by supervisor, external evaluation, public presentation, viva voce examination, and final submission after addressing committee feedback."
Does QAU offer an MPhil in Psychology?,"Yes, QAU offers an MPhil in Psychology with specializations in clinical psychology, organizational psychology, educational psychology, and cognitive psychology."
What is the attendance requirement for MPhil courses at QAU?,MPhil students at QAU are required to maintain at least 75% attendance in each course. Failing to meet this requirement may result in course withdrawal regardless of academic performance.
Does QAU offer an MPhil in Environmental Sciences?,"Yes, QAU offers an MPhil in Environmental Sciences focusing on environmental monitoring, pollution control, climate change, environmental impact assessment, and natural resource management."
What is the coursework distribution in MPhil programs at QAU?,"MPhil programs at QAU typically include 24-30 credit hours of coursework (core courses, electives, research methods) and 6-10 credit hours for thesis research and writing."
Does QAU offer an MPhil in Statistics?,"Yes, QAU offers an MPhil in Statistics with specializations in biostatistics, econometrics, time series analysis, sampling techniques, and statistical computing."
What is the policy for course registration in MPhil programs at QAU?,MPhil course registration at QAU occurs at the beginning of each semester through the department and online portal. Students typically register for 9-12 credit hours per semester.
Does QAU offer an MPhil in Anthropology?,"Yes, QAU offers an MPhil in Anthropology focusing on social and cultural anthropology, archaeology, physical anthropology, and anthropological research methods."
What is the thesis proposal defense requirement for MPhil programs at QAU?,"MPhil students at QAU must defend their thesis proposals before a departmental committee, typically in the third semester, outlining research questions, methodology, and significance."
Does QAU offer an MPhil in Bioinformatics?,"Yes, QAU offers an MPhil in Bioinformatics focusing on computational biology, genomics data analysis, biological databases, and bioinformatics tools development."
What is the policy for changing supervisors during MPhil at QAU?,"Changing MPhil supervisors at QAU requires formal application with valid reasons, approval from both current and proposed supervisors, and final endorsement by the department chairperson."
Does QAU offer an MPhil in Islamic Studies?,"Yes, QAU offers an MPhil in Islamic Studies with specializations in Islamic jurisprudence, Islamic history, Quranic studies, Hadith sciences, and comparative religions."
What is the policy for thesis submission deadline extensions for MPhil students at QAU?,"MPhil thesis submission deadline extensions at QAU may be granted for up to six months with proper justification, supervisor recommendation, and approval from the Graduate Studies Committee."
Does QAU offer an MPhil in Sociology?,"Yes, QAU offers an MPhil in Sociology focusing on social theory, research methodology, social problems, demography, and development studies."
What is the policy for course withdrawal in MPhil programs at QAU?,MPhil students at QAU can withdraw from individual courses within the first six weeks of a semester with a 'W' grade. Later withdrawals result in 'WF' (withdrawal failing) grade.
Does QAU offer an MPhil in Earth Sciences?,"Yes, QAU offers an MPhil in Earth Sciences with specializations in geology, geophysics, hydrogeology, environmental geology, and mineral resources."
What is the minimum and maximum duration to complete MPhil at QAU?,"The minimum duration to complete an MPhil at QAU is 2 years, while the maximum allowed time is 4 years, after which extensions require special approval."
Does QAU offer an MPhil in Public Administration?,"Yes, QAU offers an MPhil in Public Administration focusing on public policy, governance, public sector management, and administrative theory."
What is the policy for research publication for MPhil students at QAU?,"While not always mandatory, MPhil students at QAU are encouraged to publish at least one research paper in a recognized journal before thesis defense, with some departments making it a requirement."
Does QAU offer an MPhil in Mass Communication?,"Yes, QAU offers an MPhil in Mass Communication focusing on media theory, journalism, broadcasting, digital media, and communication research methods."
What are the library resources available for MPhil students at QAU?,"MPhil students at QAU have access to extensive library resources including research journals, online databases, e-books, thesis repositories, inter-library loan services, and research consultation."
Does QAU offer an MPhil in History?,"Yes, QAU offers an MPhil in History with specializations in South Asian history, Islamic history, modern world history, and historiography."
What is the procedure for thesis format and submission at QAU for MPhil students?,"MPhil thesis submission at QAU requires following prescribed format guidelines, plagiarism check, supervisor approval, submission of required copies to examination department, and payment of evaluation fee."
